L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
1.0,0.9,Au,0.78,-196.5467868919107,-5.5154752799195155
1.0,0.9,Au,0.785,-196.51656099942903,-5.516986574543598
1.0,0.9,Au,0.79,-196.48589628699906,-5.518519810165097
1.0,0.9,Au,0.795,-196.45513173344048,-5.520058037843026
1.0,0.9,Au,0.8,-196.42398627932113,-5.521615310548994
1.0,0.9,Au,0.805,-196.39267288831638,-5.523180980099231
1.0,0.9,Au,0.81,-196.36104487249818,-5.52476238089014
1.0,0.9,Au,0.815,-196.3291744144976,-5.52635590379017
1.0,0.9,Au,0.82,-196.29705970092218,-5.527961639468941
1.0,0.9,Au,0.825,-196.26462607613897,-5.529583320708102
1.0,0.9,Au,0.83,-196.23201809214788,-5.531213719907655
1.0,0.9,Au,0.835,-196.19901737367812,-5.532863755831144
1.0,0.9,Au,0.84,-196.16590713230158,-5.53451926789997
1.0,0.9,Au,0.845,-196.1323374651389,-5.536197751258104
1.0,0.9,Au,0.85,-196.09871373004398,-5.537878938012851
1.0,0.9,Au,0.855,-196.06457509062017,-5.539585869984041
1.0,0.9,Au,0.86,-196.0304246746603,-5.541293390782035
1.0,0.9,Au,0.865,-195.99571850427012,-5.543028699301544
1.0,0.9,Au,0.87,-195.9610266841469,-5.5447632903077055
1.0,0.9,Au,0.875,-195.92575541758805,-5.546526853635648
1.0,0.9,Au,0.88,-195.89050643973908,-5.548289302528095
1.0,0.9,Au,0.885,-195.8546729572335,-5.550080976653375
1.0,0.9,Au,0.89,-195.81885060410102,-5.551872094309999
1.0,0.9,Au,0.895,-195.7824576396207,-5.553691742534014
1.0,0.9,Au,0.9,-195.74604582136996,-5.555512333446552
1.0,0.9,Au,0.905,-195.70909536354895,-5.5573598563376025
1.0,0.9,Au,0.91,-195.67207869833584,-5.559210689598258
1.0,0.9,Au,0.915,-195.63457142100097,-5.561086053465002
1.0,0.9,Au,0.92,-195.5969357671807,-5.562967836156014
1.0,0.9,Au,0.925,-195.5588705250713,-5.564871098261484
1.0,0.9,Au,0.93,-195.52060343132462,-5.566784452948818
1.0,0.9,Au,0.935,-195.48197685292473,-5.568715781868813
1.0,0.9,Au,0.94,-195.44306789697188,-5.570661229666456
1.0,0.9,Au,0.945,-195.40387410067797,-5.572620919481151
1.0,0.9,Au,0.95,-195.36431509384553,-5.574598869822774
1.0,0.9,Au,0.955,-195.32454554631974,-5.576587347199063
1.0,0.9,Au,0.96,-195.28433058928093,-5.578598095051003
1.0,0.9,Au,0.965,-195.2439741162062,-5.58061591870474
1.0,0.9,Au,0.97,-195.2030995002831,-5.582659649500895
1.0,0.9,Au,0.975,-195.1621424503754,-5.584707501996281
1.0,0.9,Au,0.98,-195.120606408311,-5.5867843040995
1.0,0.9,Au,0.985,-195.07903296191114,-5.588862976419493
1.0,0.9,Au,0.99,-195.03683528141042,-5.590972860444529
1.0,0.9,Au,0.995,-194.9946278858728,-5.59308323022141
1.0,0.9,Au,1.0,-194.95176940788548,-5.595226154120776
1.0,0.9,Au,1.005,-194.9089093138671,-5.597369158821695
1.0,0.9,Au,1.01,-194.86539134500973,-5.599545057264564
1.0,0.9,Au,1.015,-194.82185921115013,-5.601721663957543
1.0,0.9,Au,1.02,-194.777682885356,-5.60393048024725
1.0,0.9,Au,1.025,-194.73345941415437,-5.606141653807331
