condition_order,condition_key,display_label,edl_condition,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,net_current_A
4,janus_on_c_support,C-supported Janus,with EDL,0.6132500000000001,5.554668069607432e-12,-4.8021106030798365e-12,0.005554668069607432,-0.004802110603079836,7.525574665275956e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.6135,5.59956253255944e-12,-4.763254266032192e-12,0.00559956253255944,-0.004763254266032192,8.363082665272483e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.61375,5.644819933012183e-12,-4.724712357581353e-12,0.005644819933012183,-0.004724712357581353,9.201075754308294e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.614,5.690443205734137e-12,-4.6864823331709294e-12,0.005690443205734137,-0.00468648233317093,1.0039608725632077e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.61425,5.736435309230331e-12,-4.648561668838095e-12,0.005736435309230331,-0.004648561668838095,1.0878736403922366e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6145,5.7827992259343606e-12,-4.610947861046885e-12,0.0057827992259343606,-0.004610947861046885,1.1718513648874756e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.61475,5.829537962401923e-12,-4.57363842652292e-12,0.005829537962401923,-0.00457363842652292,1.2558995358790031e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.615,5.876654549506074e-12,-4.5366309020893394e-12,0.005876654549506074,-0.00453663090208934,1.3400236474167346e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6152500000000001,5.924152042633849e-12,-4.499922844504186e-12,0.005924152042633849,-0.004499922844504186,1.4242291981296633e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6155,5.972033521884575e-12,-4.4635118302990915e-12,0.005972033521884575,-0.0044635118302990915,1.5085216915854837e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.61575,6.020302092269874e-12,-4.427395455619148e-12,0.006020302092269874,-0.004427395455619148,1.5929066366507262e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.616,6.068960883915186e-12,-4.391571336064216e-12,0.006068960883915187,-0.004391571336064216,1.6773895478509708e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.61625,6.118013052262875e-12,-4.356037106531471e-12,0.006118013052262875,-0.00435603710653147,1.7619759457314045e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6165,6.1674617782771125e-12,-4.320790421059178e-12,0.006167461778277113,-0.0043207904210591785,1.8466713572179342e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.61675,6.217310268650248e-12,-4.285828952671847e-12,0.006217310268650248,-0.004285828952671847,1.9314813159784012e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.617,6.267561756011142e-12,-4.25115039322646e-12,0.006267561756011142,-0.0042511503932264605,2.0164113627846817e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6172500000000001,6.318219499134815e-12,-4.216752453260103e-12,0.006318219499134815,-0.004216752453260104,2.101467045874712e-12
