condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
with EDL,1.0,0.49635036496350365,1.86868078183543e-12,-4.146824310628434e-12,0.0018686807818354301,-0.004146824310628435,0.09343403909177149,-0.2073412155314217
with EDL,1.0,0.4966006256517206,1.879452365997299e-12,-4.12305788383597e-12,0.0018794523659972989,-0.00412305788383597,0.09397261829986493,-0.2061528941917985
with EDL,1.0,0.49685088633993746,1.8902860404992997e-12,-4.099427668032973e-12,0.0018902860404992998,-0.004099427668032973,0.09451430202496497,-0.2049713834016486
with EDL,1.0,0.49710114702815433,1.901182163247047e-12,-4.075932882562177e-12,0.001901182163247047,-0.004075932882562177,0.09505910816235233,-0.20379664412810886
with EDL,1.0,0.4973514077163712,1.912141094209204e-12,-4.052572751240454e-12,0.001912141094209204,-0.0040525727512404535,0.09560705471046019,-0.20262863756202265
with EDL,1.0,0.49760166840458814,1.923163195429404e-12,-4.029346502333151e-12,0.001923163195429404,-0.004029346502333151,0.0961581597714702,-0.20146732511665755
with EDL,1.0,0.497851929092805,1.934248831038186e-12,-4.006253368528636e-12,0.0019342488310381861,-0.004006253368528636,0.09671244155190929,-0.20031266842643178
with EDL,1.0,0.49810218978102194,1.9453983672650535e-12,-3.9832925869128916e-12,0.0019453983672650535,-0.003983292586912892,0.09726991836325267,-0.19916462934564455
with EDL,1.0,0.4983524504692388,1.9566121724505293e-12,-3.9604633989443594e-12,0.0019566121724505295,-0.003960463398944359,0.09783060862252646,-0.19802316994721794
with EDL,1.0,0.4986027111574557,1.967890617058375e-12,-3.937765050428849e-12,0.0019678906170583752,-0.003937765050428849,0.09839453085291874,-0.19688825252144246
with EDL,1.0,0.49885297184567257,1.9792340736877965e-12,-3.915196791494643e-12,0.0019792340736877966,-0.0039151967914946425,0.09896170368438982,-0.19575983957473211
with EDL,1.0,0.4991032325338895,1.9906429170857655e-12,-3.8927578765677016e-12,0.0019906429170857653,-0.0038927578765677014,0.09953214585428825,-0.19463789382838506
with EDL,1.0,0.49935349322210637,2.002117524159395e-12,-3.870447564347071e-12,0.002002117524159395,-0.0038704475643470708,0.10010587620796974,-0.1935223782173535
with EDL,1.0,0.4996037539103233,2.0136582739884005e-12,-3.848265117780342e-12,0.0020136582739884003,-0.003848265117780342,0.10068291369942,-0.19241325588901706
with EDL,1.0,0.4998540145985402,2.0252655478375978e-12,-3.826209804039344e-12,0.002025265547837598,-0.0038262098040393443,0.10126327739187989,-0.1913104902019672
with EDL,1.0,0.500104275286757,2.0369397291695358e-12,-3.804280894495907e-12,0.0020369397291695357,-0.003804280894495907,0.10184698645847677,-0.19021404472479533
with EDL,1.0,0.5003545359749739,2.0486812036571367e-12,-3.782477664697803e-12,0.002048681203657137,-0.003782477664697803,0.10243406018285682,-0.18912388323489016
with EDL,1.0,0.5006047966631908,2.060490359196449e-12,-3.760799394344812e-12,0.002060490359196449,-0.003760799394344812,0.10302451795982244,-0.1880399697172406
with EDL,1.0,0.5008550573514077,2.072367585919459e-12,-3.739245367264923e-12,0.002072367585919459,-0.003739245367264923,0.10361837929597295,-0.18696226836324614
with EDL,1.0,0.5011053180396247,2.084313276206985e-12,-3.7178148713906635e-12,0.0020843132762069848,-0.0037178148713906635,0.10421566381034923,-0.18589074356953314
with EDL,1.0,0.5013555787278415,2.096327824701618e-12,-3.696507198735624e-12,0.002096327824701618,-0.003696507198735624,0.10481639123508091,-0.18482535993678118
with EDL,1.0,0.5016058394160584,2.1084116283207946e-12,-3.675321645371e-12,0.0021084116283207944,-0.0036753216453709998,0.10542058141603972,-0.18376608226854996
with EDL,1.0,0.5018561001042753,2.120565086269883e-12,-3.654257511402365e-12,0.002120565086269883,-0.003654257511402365,0.10602825431349415,-0.18271287557011823
with EDL,1.0,0.5021063607924922,2.1327886000553826e-12,-3.633314100946577e-12,0.0021327886000553826,-0.003633314100946577,0.10663943000276913,-0.18166570504732882
with EDL,1.0,0.5023566214807091,2.1450825734981917e-12,-3.6124907221087284e-12,0.0021450825734981916,-0.0036124907221087286,0.10725412867490956,-0.1806245361054364
with EDL,1.0,0.502606882168926,2.1574474127469166e-12,-3.591786686959376e-12,0.0021574474127469168,-0.003591786686959376,0.10787237063734582,-0.17958933434796878
with EDL,1.0,0.5028571428571429,2.1698835262913465e-12,-3.5712013115117194e-12,0.0021698835262913465,-0.0035712013115117196,0.10849417631456731,-0.17856006557558596
with EDL,1.0,0.5031074035453598,2.1823913249758954e-12,-3.5507339156990616e-12,0.0021823913249758953,-0.0035507339156990616,0.10911956624879475,-0.17753669578495307
with EDL,1.0,0.5033576642335766,2.194971222013211e-12,-3.530383823352328e-12,0.0021949712220132108,-0.003530383823352328,0.10974856110066054,-0.17651919116761638
with EDL,1.0,0.5036079249217935,2.2076236329977964e-12,-3.5101503621777273e-12,0.0022076236329977962,-0.003510150362177727,0.1103811816498898,-0.17550751810888635
with EDL,1.0,0.5038581856100104,2.2203489759197692e-12,-3.4900328637345427e-12,0.002220348975919769,-0.0034900328637345428,0.11101744879598845,-0.17450164318672712
with EDL,1.0,0.5041084462982274,2.233147671178649e-12,-3.47003066341304e-12,0.0022331476711786487,-0.00347003066341304,0.11165738355893243,-0.17350153317065198
with EDL,1.0,0.5043587069864442,2.2460201415972407e-12,-3.4501431004125465e-12,0.0022460201415972405,-0.0034501431004125465,0.11230100707986201,-0.1725071550206273
with EDL,1.0,0.5046089676746611,2.258966812435633e-12,-3.430369517719567e-12,0.0022589668124356334,-0.0034303695177195673,0.11294834062178165,-0.17151847588597835
with EDL,1.0,0.504859228362878,2.2719881114052224e-12,-3.4107092620861145e-12,0.0022719881114052222,-0.0034107092620861146,0.11359940557026112,-0.1705354631043057
with EDL,1.0,0.5051094890510949,2.2850844686828495e-12,-3.3911616840081197e-12,0.0022850844686828496,-0.00339116168400812,0.11425422343414246,-0.16955808420040597
with EDL,1.0,0.5053597497393119,2.2982563169250183e-12,-3.3717261377039646e-12,0.002298256316925018,-0.003371726137703965,0.1149128158462509,-0.1685863068851982
with EDL,1.0,0.5056100104275287,2.3115040912821637e-12,-3.352401981093186e-12,0.002311504091282164,-0.003352401981093186,0.11557520456410818,-0.1676200990546593
with EDL,1.0,0.5058602711157456,2.324828229413065e-12,-3.3331885757752074e-12,0.002324828229413065,-0.0033331885757752074,0.11624141147065324,-0.16665942878876036
with EDL,1.0,0.5061105318039625,2.3382291714992785e-12,-3.3140852870082853e-12,0.0023382291714992786,-0.0033140852870082852,0.1169114585749639,-0.16570426435041424
with EDL,1.0,0.5063607924921794,2.3517073602596875e-12,-3.29509148368853e-12,0.0023517073602596877,-0.00329509148368853,0.11758536801298437,-0.1647545741844265
with EDL,1.0,0.5066110531803962,2.3652632409651273e-12,-3.2762065383290598e-12,0.0023652632409651275,-0.00327620653832906,0.11826316204825635,-0.16381032691645298
with EDL,1.0,0.5068613138686131,2.378897261453097e-12,-3.25742982703926e-12,0.002378897261453097,-0.00325742982703926,0.11894486307265484,-0.162871491351963
with EDL,1.0,0.5071115745568301,2.392609872142551e-12,-3.2387607295041853e-12,0.0023926098721425513,-0.003238760729504185,0.11963049360712755,-0.16193803647520924
with EDL,1.0,0.507361835245047,2.4064015260487758e-12,-3.220198628964075e-12,0.0024064015260487756,-0.003220198628964075,0.12032007630243877,-0.16100993144820372
with EDL,1.0,0.5076120959332638,2.420272678798369e-12,-3.2017429121939425e-12,0.002420272678798369,-0.0032017429121939424,0.12101363393991844,-0.1600871456096971
with EDL,1.0,0.5078623566214807,2.4342237886442823e-12,-3.18339296948335e-12,0.0024342237886442824,-0.0031833929694833497,0.1217111894322141,-0.15916964847416748
with EDL,1.0,0.5081126173096976,2.4482553164809602e-12,-3.1651481946162403e-12,0.0024482553164809602,-0.0031651481946162402,0.122412765824048,-0.158257409730812
with EDL,1.0,0.5083628779979145,2.4623677258595724e-12,-3.1470079848509424e-12,0.0024623677258595726,-0.0031470079848509424,0.12311838629297861,-0.1573503992425471
